code,Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8,Period_9,Period_10
aaa,1308.6666666666667,490.75,356.9090909090909,186.95238095238096,,,,,,
aae,2732.4999999999995,364.3333333333333,,,,,,,,
abg,2741.6666666666665,,,,,,,,,
abk,3164.6666666666665,,,,,,,,,
aia,3102.5000000000005,1551.2500000000002,564.0909090909092,413.66666666666674,365.0,193.90625000000003,,,,
ale,712.5,285.0,178.125,,,,,,,
ams,1823.25,810.3333333333334,364.65,182.325,,,,,,
api,1803.0,,,,,,,,,
aqu,1822.0,911.0,520.5714285714287,364.4,,,,,,
asc,2190.333333333333,730.1111111111112,,,,,,,,
asp,4011.0,,,,,,,,,
bdv,1635.0,1090.0,363.3333333333333,,,,,,,
bel,3145.6666666666665,1348.142857142857,857.9090909090909,,,,,,,
bfe,2913.0,1456.5,582.6,388.4,306.63157894736844,,,,,
bfo,1581.3333333333333,790.6666666666666,,,,,,,,
blc,3373.333333333333,361.4285714285714,,,,,,,,
bmt,2793.0000000000005,1047.375,598.5,349.12500000000006,,,,,,
bng,1813.6666666666667,906.8333333333334,604.5555555555554,453.4166666666667,,,,,,
bou,5079.0,,,,,,,,,
box,1538.75,879.2857142857143,,,,,,,,
brw,3398.0,1456.2857142857142,566.3333333333334,364.07142857142856,,,,,,
bsl,2350.0,,,,,,,,,
cbb,5080.0,2540.0,1693.3333333333337,1270.0,362.8571428571428,181.42857142857144,,,,
cki,1408.0000000000002,,,,,,,,,
clf,2643.0,621.8823529411765,364.551724137931,,,,,,,
cmo,3148.0,1574.0,363.2307692307693,,,,,,,
cnb,3402.333333333333,2041.4,637.9374999999999,364.5357142857142,,,,,,
cpl,607.6666666666666,,,,,,,,,
csy,2012.0,574.8571428571429,365.8181818181818,,,,,,,
cta,3823.0,,,,,,,,,
czt,364.9130434782609,,,,,,,,,
dlr,1144.4,635.7777777777778,357.625,,,,,,,
dlt,352.2857142857143,,,,,,,,,
dou,2191.0,,,,,,,,,
drv,3622.5,805.0,,,,,,,,
dur,303.00000000000006,227.25,,,,,,,,
ebr,2309.0,989.5714285714288,692.7,384.8333333333333,,,,,,
esk,2636.25,1757.4999999999995,363.6206896551724,,,,,,,
eyr,3277.333333333333,1404.5714285714284,819.3333333333334,,,,,,,
fcc,362.6206896551724,,,,,,,,,
frd,2528.5,361.21428571428567,,,,,,,,
frn,4889.999999999999,1956.0,376.1538461538461,,,,,,,
fur,2178.0,363.0,,,,,,,,
gan,727.0000000000001,,,,,,,,,
gck,1699.3333333333333,364.1428571428572,,,,,,,,
gdh,1894.8,861.2727272727274,631.6,364.3846153846154,,,,,,
gln,644.6666666666666,386.8,241.75,,,,,,,
gna,3260.5,362.27777777777777,,,,,,,,
gng,1093.0,327.9,,,,,,,,
gua,3264.0,,,,,,,,,
gui,2548.333333333333,1274.1666666666667,588.0769230769231,,,,,,,
gzh,545.75,311.85714285714283,128.41176470588235,,,,,,,
had,3528.0,1764.0,,,,,,,,
hbk,2660.9999999999995,1596.6,443.5,362.8636363636363,,,,,,
her,5093.0,,,,,,,,,
hlp,3273.0,1309.2,727.3333333333334,363.6666666666667,327.3,181.8333333333333,,,,
hon,5049.0,2524.5,1683.0,,,,,,,
hrb,2184.0,671.9999999999999,,,,,,,,
hrn,1722.0,984.0,765.3333333333334,405.1764705882353,,,,,,
hua,3458.5,1383.4,988.1428571428572,532.0769230769231,384.2777777777778,329.3809523809524,203.44117647058823,177.35897435897436,,
hyb,902.25,401.0,,,,,,,,
ipm,708.75,315.0,149.21052631578948,,,,,,,
iqa,2899.9999999999995,1740.0,,,,,,,,
irt,3957.0,1582.8,989.25,465.5294117647059,395.7,316.56,282.6428571428572,179.86363636363637,155.1764705882353,
jco,365.0,,,,,,,,,
kak,5251.5,2100.6,875.25,362.1724137931035,,,,,,
kdu,2542.333333333333,,,,,,,,,
kep,1448.0,413.7142857142858,289.6,144.8,,,,,,
khb,974.0000000000002,324.6666666666667,,,,,,,,
kiv,1333.0,399.9,,,,,,,,
kmh,1448.6666666666663,,,,,,,,,
kny,3590.5,359.05,,,,,,,,
kou,4529.5,1006.5555555555557,362.36,,,,,,,
ler,2547.9999999999995,1273.9999999999998,364.0,,,,,,,
lon,362.0,,,,,,,,,
lov,1336.3333333333333,,,,,,,,,
lrm,2061.0,343.49999999999994,,,,,,,,
lvv,1444.5,722.25,361.125,,,,,,,
lzh,3341.0,,,,,,,,,
mab,1460.0,730.0,,,,,,,,
maw,2912.5000000000005,364.06250000000006,,,,,,,,
mbo,4788.0,1596.0,,,,,,,,
mcq,2428.333333333333,1040.7142857142858,728.5000000000001,520.3571428571429,364.25000000000006,227.65625,,,,
mea,361.41379310344826,,,,,,,,,
mgd,365.75,,,,,,,,,
mid,364.0,182.0,,,,,,,,
mmb,3386.6666666666674,461.8181818181818,390.7692307692308,338.6666666666667,,,,,,
naq,3031.333333333333,1515.6666666666667,909.4,433.04761904761904,349.7692307692308,181.88,,,,
nck,4717.5,362.8846153846154,,,,,,,,
new,3379.6666666666665,1267.375,921.7272727272726,362.1071428571428,,,,,,
ngk,3041.333333333333,364.96,,,,,,,,
nur,3160.0,729.2307692307693,364.61538461538464,,,,,,,
nvs,354.88235294117646,,,,,,,,,
ott,1751.6666666666667,362.4137931034483,,,,,,,,
paf,2675.0000000000005,1605.0,802.5,668.7500000000001,445.8333333333333,334.37500000000006,157.35294117647058,,,
pag,2530.5,1265.25,722.9999999999999,506.1,337.4,,,,,
pbq,2860.0,1430.0,715.0,440.0,381.3333333333333,317.77777777777777,286.0,260.0,228.8,204.28571428571428
peg,353.6666666666667,,,,,,,,,
pet,1577.3333333333333,364.00000000000006,,,,,,,,
phu,4136.0,1378.6666666666663,,,,,,,,
pil,1457.4999999999998,728.7499999999999,364.375,265.0,,,,,,
ppt,3189.6666666666665,354.4074074074074,,,,,,,,
pst,3278.5,,,,,,,,,
qsb,955.3333333333334,358.25,,,,,,,,
res,2632.25,363.0689655172414,,,,,,,,
sba,1194.5714285714284,491.88235294117646,363.5652173913043,,,,,,,
sbl,365.25000000000006,,,,,,,,,
sfs,1430.0,953.3333333333334,635.5555555555555,476.6666666666667,357.5,286.0,238.3333333333333,204.28571428571428,168.23529411764704,
she,982.75,655.1666666666666,357.3636363636363,,,,,,,
shu,1160.1999999999998,725.125,362.5625,181.28125,,,,,,
sit,3383.333333333333,1268.75,362.5,,,,,,,
sjg,3275.333333333333,,,,,,,,,
sod,3407.6666666666665,1022.3,378.6296296296296,,,,,,,
spt,4001.5,363.77272727272725,,,,,,,,
stj,5269.5,2634.75,1317.375,810.6923076923077,363.4137931034483,,,,,
sua,2678.333333333333,892.7777777777778,,,,,,,,
tam,5075.5,362.5357142857143,,,,,,,,
tan,2498.5,,,,,,,,,
tdc,1704.5,378.77777777777777,,,,,,,,
thl,5100.0,1133.3333333333333,364.28571428571433,,,,,,,
thy,5086.5,2034.6,,,,,,,,
trw,1438.0000000000002,616.2857142857143,359.50000000000006,,,,,,,
tsu,1827.3333333333333,1096.4,685.25,365.4666666666666,,,,,,
tuc,3147.6666666666665,1049.2222222222222,786.9166666666666,629.5333333333334,497.0,377.72,248.5,181.59615384615387,,
ups,2071.6666666666665,565.0,365.5882352941176,,,,,,,
val,2063.0,1237.8,343.8333333333333,,,,,,,
vic,3498.6666666666665,361.93103448275866,,,,,,,,
vna,840.6666666666666,,,,,,,,,
vos,844.0,316.5,253.2,168.8,,,,,,
vss,1150.0,460.0,363.1578947368421,313.6363636363636,,,,,,
wng,3283.0,1407.0,895.3636363636364,518.3684210526317,364.7777777777778,,,,,
yak,819.0,364.00000000000006,182.00000000000003,,,,,,,
ykc,4909.5,,,,,,,,,
